tematica;nombre_capa;descripcion_capa;ultima_actualizacion_reportada;fuente
_2_Cambio_Climatico;_2_3_Cambio_en_la_precipitacion_anual_multiescenario_2011_2040_RCP_4.5_1981_2010;Análisis De La Vulnerabilidad Territorial Ante El Cambio Climático - Cambio En La Precipitación Anual. Multiescenario 2011-2040 Rcp 4.5 - 1981-2010;2020-01-21;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_4_Cambio_en_la_temperatura_media_anual_multiescenario_2011_2040_RCP_8.5_1981_2010;Análisis De La Vulnerabilidad Territorial Ante El Cambio Climático - Cambio En La Temperatura Media Anual. Multiescenario 2011-2040 Rcp 8.5 - 1981-2010;2020-01-21;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_5_Cambio_en_la_temperatura_media_anual_multiescenario_2011_2040_RCP_4.5___1981_2010;Análisis De La Vulnerabilidad Territorial Ante El Cambio Climático - Cambio En La Temperatura Media Anual. Multiescenario 2011-2040 Rcp 4.5 - 1981-2010;2020-01-21;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_6_Zonas_de_vida_de_Holdridge_1981_2010;Análisis De La Vulnerabilidad Territorial Ante El Cambio Climático - Zonas De Vida De Holdridge 1981-2010;2020-01-21;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_7_Escorrentia_Total_Anual_1981_2010;Análisis De La Vulnerabilidad Territorial Ante El Cambio Climático - Escorrentía Total Anual 1981-2010;2020-01-21;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_8_Capacidad_Adaptativa_al_Cambio_Climatico_para_la_cuenca_del_Rio_Alto_Suarez;Capacidad Adaptativa Al Cambio Climático Para La Cuenca Del Río Alto Suárez Y Municipio De Ráquira. Generado En Marco Del Convenio 2613/2020 Car-Unal Para La Identificación De La Vulnerabilidad Al Cambio Climático De Los Ríos Seco Y Sus Directos Al Magdalena Y Alto Suárez De La Jurisdicción Car, En El Fortalecimiento Del Conocimiento Institucional De Vulnerabilidad Para La Adaptación Y Manejo Al Cambio Climático.;2022-04-26;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_9_Capacidad_Adaptativa_al_Cambio_Climatico_para_la_cuenca_del_Rio_Seco;Capacidad Adaptativa Al Cambio Climático Para La Cuenca Del Río Seco Y Otros Directos Al Magdalena. Generado En Marco Del Convenio 2613/2020 Car-Unal Para La Identificación De La Vulnerabilidad Al Cambio Climático De Los Ríos Seco Y Sus Directos Al Magdalena Y Alto Suárez De La Jurisdicción Car, En El Fortalecimiento Del Conocimiento Institucional De Vulnerabilidad Para La Adaptación Y Manejo Al Cambio Climático.;2022-04-26;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_10_Sensibilidad_al_Cambio_Climatico_para_la_cuenca_del_Rio_Alto_Suarez;Sensibilidad Al Cambio Climático Para La Cuenca Del Río Alto Suárez Y Municipio De Ráquira. Generado En Marco Del Convenio 2613/2020 Car-Unal Para La Identificación De La Vulnerabilidad Al Cambio Climático De Los Ríos Seco Y Sus Directos Al Magdalena Y Alto Suárez De La Jurisdicción Car, En El Fortalecimiento Del Conocimiento Institucional De Vulnerabilidad Para La Adaptación Y Manejo Al Cambio Climático.;2022-04-26;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_11_Sensibilidad_al_Cambio_Climatico_para_la_cuenca_del_Rio_Seco;Sensibilidad Al Cambio Climático Para La Cuenca Del Río Seco Y Otros Directos Al Magdalena. Generado En Marco Del Convenio 2613/2020 Car-Unal Para La Identificación De La Vulnerabilidad Al Cambio Climático De Los Ríos Seco Y Sus Directos Al Magdalena Y Alto Suárez De La Jurisdicción Car, En El Fortalecimiento Del Conocimiento Institucional De Vulnerabilidad Para La Adaptación Y Manejo Al Cambio Climático.;2022-04-26;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_12_Vulnerabilidad_al_Cambio_Climatico_para_la_cuenca_del_Rio_Alto_Suarez;Vulnerabilidad Al Cambio Climático Para La Cuenca Del Río Alto Suárez Y Municipio De Ráquira. Generado En Marco Del Convenio 2613/2020 Car-Unal Para La Identificación De La Vulnerabilidad Al Cambio Climático De Los Ríos Seco Y Sus Directos Al Magdalena Y Alto Suárez De La Jurisdicción Car, En El Fortalecimiento Del Conocimiento Institucional De Vulnerabilidad Para La Adaptación Y Manejo Al Cambio Climático.;2022-04-26;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_13_Vulnerabilidad_al_Cambio_Climatico_para_la_cuenca_del_Rio_Seco;Vulnerabilidad Al Cambio Climático Para La Cuenca Del Río Seco Y Otros Directos Al Magdalena. Generado En Marco Del Convenio 2613/2020 Car-Unal Para La Identificación De La Vulnerabilidad Al Cambio Climático De Los Ríos Seco Y Sus Directos Al Magdalena Y Alto Suárez De La Jurisdicción Car, En El Fortalecimiento Del Conocimiento Institucional De Vulnerabilidad Para La Adaptación Y Manejo Al Cambio Climático.;2022-04-26;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_14_Precipitacion_Anual_1981_2010;Análisis De La Vulnerabilidad Territorial Ante El Cambio Climático - Precipitación Anual 1981-2010;2020-01-21;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_15_Temperatura_Media_Anual_1981_2010;Análisis De La Vulnerabilidad Territorial Ante El Cambio Climático - Temperatura Media Anual 1981-2010;2020-01-21;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_16_Precipitacion_A2_2011_2040;Escenarios De Cambio Climático, Precipitaciones A2 2011- 2040;2019-01-17;Corporación Autónoma Regional de Cundinamarca
_2_Cambio_Climatico;_2_17_Temperatura_A2_2011_2040;Escenarios Cambio Climático Temperatura A2 2011-2040;2019-01-17;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_1_Zonificacion_DMI_Cerro_Juaica;Zoniificación Ambiental Dmi Cerro Juaica Delimitado Por Acuerdo Car 42 De 1999 Y Plan De Manejo Adoptado Mediante Resolución Car 391 De 2015;2022-12-01;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_2_Zonificacion_Ambiental_RFP_El_Robledal;Zonificación Ambiental Rfp El Robledal;2022-03-10;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_3_Zonas_Identificadas_Inventariadas_Restaurar_Cuenca_del_Rio_Bogota;Zonas Donde Se Necesita Iniciar Procesos De Reforestación Protectora Mediante La Siembra De Especies Nativas Colombianas Y El Cuidado De Éstas, Y Prioricen Las Áreas Degradadas O Potrerizadas Que Necesitan Con Urgencia Intervención Para Reforestación;2019-07-17;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_4_Zonas_A_Restaurar_en_la_Cuenca_del_Rio_Bogota;"Zonas Donde Se Necesita Iniciar Procesos De Reforestación Protectora Mediante La Siembra De Especies Nativas Colombianas Y El Cuidado De Éstas, Y Prioricen Las Áreas Degradadas O Potrerizadas Que Necesitan Con Urgencia Intervención Para Reforestación

Atendiendo La Orden 4.24 De La Sentencia De Recuperación Y Descontaminación Del Río Bogotá, Que Indica La Obligación De La Corporación, Departamento De Cundinamarca, Al Distrito Capital Y A Todos Y Cada Uno De Los Entes Territoriales Que Hacen Parte De La Cuenca Hidrográfica Del Río Bogotá, Para Que Identifiquen E Inventaríen Las Zonas Donde Se Necesita Iniciar Procesos De Reforestación Protectora Mediante La Siembra De Especies Nativas Colombianas Y El Cuidado De Éstas, Y Prioricen Las Áreas Degradadas O Potrerizadas Que Necesitan Con Urgencia Intervención Para Reforestación, La Corporación Suscribió El Convenio 279 De 2015. Producto De Ese Convenio Se Obtuvieron Las Áreas Identificadas E Inventariadas Las Zonas Donde Se Necesita Iniciar Procesos De Reforestación Protectora Mediante La Siembra De Especies Nativas Y Sobre Estas Se Priorizaron Las Áreas Degradadas O Potrerizadas. Dicho Ejercicio Se Realizó Mediante Análisis Espacial Y Trabajos De Campo, Que Se Describe En El Documento Identificación Y Priorización De Las Áreas Para Reforestación Protectora Sobre La Cuenca Del Río Bogotá.";2019-07-17;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_5_Zonificacion_Ambiental_DMI_Sector_Salto_Tequendama_Cerro_Manjui;Zonificación Ambiental Del Dmi Del Sector Salto Del Tequendama Cerro Manjui;2019-05-07;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_6_Zonificacion_Ambiental_RH_Humedal_Tierra_Blanca;Zonificación Ambiental Rh Humedal Tierra Blanca;2022-03-10;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_7_Zonificacion_Ambiental_RH_Laguna_La_Herrera;Zonificación Ambiental Rh Laguna La Herrera;2022-03-10;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_8_Zonificacion_Ambiental_RFPP_Penias_del_Aserradero;Zonificación Ambiental Rfpp Peñas Del Aserradero;2022-03-10;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_9_Zonificacion_Ambiental_RFPP_El_Sapo_San_Rafael;Zonificación Ambiental Rfpp El Sapo - San Rafael;2022-03-10;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_10_Zonificacion_Ambiental_DRMI_Cerro_El_Tabor;Zonificación Ambiental Drmi Cerro El Tabor;2022-03-10;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_11_Zonificacion_Ambiental_DMI_Humedal_Guali;Zonificación Ambiental Drmi Humedales De Gualí, Tres Esquinas Y Lagunas Del Funzhé;2019-03-09;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_12_Zonificacion_DMI_Fuquene_Cucunuba_Palacios;Zonificación Ambiental Del Dmi Complejo Lagunar Fúquene Cucunubá Y Palacios;2021-10-15;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_14_Zonificacion_Ambiental_RFP_Pionono;Zonificación Ambiental Plan De Manejo Ambiental Rfp Pionono;2020-06-25;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_15_Zonificacion_Ambiental_DMI_Cuchilla_San_Antonio_y_Laguna_del_Coco;Zonificación Ambiental Plan De Manejo Ambiental Distrito De Manejo Integrado Cuchilla De San Antonio Y Laguna Del Coco;2022-12-19;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_16_Zonificacion_Ambiental_Van_Der_Hammen;Contiene La Zonificación Ambiental De La Zona De Reserva Norte Thomas Van Der Hammen;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_17_RH_Suesca;Reserva Hídrica Suesca;2020-01-05;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_18_Areas_protegidas_declaradas_CAR;Áreas Protegidas Declaradas En Jurisdicción Car;2022-10-14;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_19_Zonificacion_Ambiental_RFP_Paramos_Telecom_y_Merchan;Zonificación Ambiental Rfp Páramos De Telecom Y Merchán;2022-03-10;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_20_Zonificacion_Ambiental_RFP_Bosque_Oriental_de_Bogota;Zonificación Ambiental Rfp Bosque Oriental De Bogotá;2022-03-10;Corporación Autónoma Regional de Cundinamarca
_5_Areas_Protegidas;_5_21_EEP_CAR;Capa De La Estructura Ecológica Principal De La Jurisdicción Car Establecida Mediante Resolución Car 20217000599 Del 7 De Diciembre De 2021;2022-12-20;Corporación Autónoma Regional de Cundinamarca
_14_Ecosistema;_14_8_Bancos_Habitat;Capa Que Contiene Los Polígonos De Los Bancos De Habitat, Los Cuales Fueron Creados Mediante La Resolución 1051 De 2017 Para Ser Un Mecanismo De Implementación De Las Obligaciones Derivadas De Las Compensaciones Ambientales Y De La Inversión Forzosa Del 1%, Bajo El Esquema De Pago Por Desempeño;2022-01-21;Ministerio de Ambiente y Desarrollo Sostenible
_1_POMCA;_1_2_Zonificacion_Ambiental_POMCA_Guayuriba_2019;Contiene La Zonificación Ambiental Del Plan De Ordenación Y Manejo De La Cuenca - Río Guayuriba;2019-01-25;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_3_Zonificacion_Ambiental_POMCA_Guavio_2019;Contiene La Zonificación Ambiental Del Plan De Ordenación Y Manejo De La Cuenca - Río Guayuriba;2019-01-12;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_4_Zonificacion_Ambiental_POMCA_Rio_Garagoa;Contiene La Zonificación Ambiental Del Plan De Ordenación Y Manejo De La Cuenca - Pomca Río Garagoa Adoptado Mediante Resolución Car 3808 De 2018;2022-12-18;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_5_Zonificacion_POMCA_MedioBajoSuarez;Contiene La Zonificación Ambiental Del Plan De Ordenación Y Manejo De La Cuenca - Pomca Río Medio Y Bajo Suárez 240102 Según Decreto 1640 De 2012 Adoptada Mediante Resolución Car N° 2365, Cas N° 0368 Y Corpoboyaca N° 2110 Del 27-Ago-2018;2022-04-02;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_6_Zonificacion_Ambiental_POMCA_Rio_Magdalena;Contiene La Zonificación Ambiental Del Plan De Ordenación Y Manejo De La Cuenca - Pomca Río Magdalena;2019-07-05;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_7_Zonificacion_Ambiental_POMCA_Rio_Blanco_Negro_Guayuriba;Contiene La Zonificación Ambiental Del Plan De Ordenación Y Manejo De La Cuenca - Pomca Río Blanco Negro Guyuriba;2019-03-05;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_8_Amenaza_Incendio_POMCA_GaragoaMacheta;Contiene La Amenaza Por Incendio Del Plan De Ordenamiento Y Manejo De La Cuenca - Pomca Río Garagoa - Macheta;2019-03-05;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_9_Amenaza_Inundacion_POMCA_RioGaragoaMacheta;Contiene La Amenaza Por Inundación Del Plan De Ordenamiento Y Manejo De La Cuenca - Pomca Río Garagoa - Macheta;2019-03-05;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_10_Amenaza_movimientoenmasa_POMCA_RioGaragoaMacheta;Contiene La Amenaza Por Remoción En Masa Del Plan De Ordenamiento Y Manejo De La Cuenca - Pomca Río Garagoa - Macheta;2019-03-05;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_11_Riesgo_Incendio_POMCA_RioGaragoaMacheta;Contiene La Riesgo Por Incendio Forestal Del Plan De Ordenamiento Y Manejo De La Cuenca - Pomca Río Garagoa - Macheta;2019-03-05;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_12_Zonificacion_Ambiental_POMCA_RioNegro;Zonificación Ambiental Del Plan De Ordenación Y Manejo De La Cuenca - Pomca Río Negro;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_13_Zonificacion_Ambiental_POMCA_Rio_Bogota_-_2120_anio_2019;Contiene La Zonificación Ambiental Del Pomca Del Río Bogotá Adoptada Mediante Resolución Car 957 Del 02-Abr-2019;2022-04-30;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_14_Zonificacion_Ambiental_POMCA_Carare;Zonificación Ambiental Del Plan De Ordenación Y Manejo De La Cuenca - Pomca Del Río Carare - Minero, Según Decreto 1640 De 2012 Adoptada Mediante Resolución Cas 186 Del 04-Mar-2019, Car 598 Del 04-Mar-2019 Y Corpoboyacá 537 Del 04-Mar-2019.;2022-04-01;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_15_Zonificacion_Ambiental_POMCA_Rio_Alto_Suarez;Contiene La Zonificación Ambiental Del Plan De Ordenación Y Manejo De La Cuenca - Pomca Río Alto Suárez Según Decreto 1640 De 2012 Adoptada Mediante Resolución Car N° 1712 Y Corpoboyaca N° 2258, Las Dos Del 25 De Junio De 2018;2019-07-08;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_16_Amenazas_POMCA_RioNegro;Contiene Amenazas Por Inundación Y Remocion En Masa Del Plan De Ordenamiento Y Manejo De La Cuenca - Pomca Río Negro;2019-03-05;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_17_Amenaza_Incendios_POMCA_Rio_Negro;Contiene Amenaza Alta Por Incendios Del Plan De Ordenamiento Y Manejo De La Cuenca - Pomca Río Negro;2019-07-14;Corporación Autónoma Regional de Cundinamarca
_1_POMCA;_1_1_Zonificacion_Ambiental_POMCA_Rio_Seco_y_Otros_Directos_al_Magdalena;Contiene La Zonificación Ambiental Del Plan De Ordenación Y Manejo De La Cuenca - Río Seco Y Otros Directos Al Magdalena;2022-05-24;Corporación Autónoma Regional de Cundinamarca
_3_Cuencas_Hidrograficas;_3_1_Red_Hidrometeorologica_CAR;Catalogo De Estaciones De La Red Hidrometeorológica De La Car;2019-01-22;Corporación Autónoma Regional de Cundinamarca
_3_Cuencas_Hidrograficas;_3_2_Cuencas_escala_1_25000_CAR;Cuencas Según Pomcas En La Jurisdicción Car;2022-04-27;Corporación Autónoma Regional de Cundinamarca
_3_Cuencas_Hidrograficas;_3_3_Subcuencas_escala_1_25000_CAR;Subcuencas Según Pomcas En La Jurisdicción Car;2022-04-27;Corporación Autónoma Regional de Cundinamarca
_7_Rondas;_7_1_Delimitacion_de_Rondas;Delimitación De Zonas De Rondas Mediante Actos Administrativos De La Car;2021-01-12;Corporación Autónoma Regional de Cundinamarca
_8_Agua_Subterranea;_8_1_Zona_Critica_Aguas_Subterraneas;Servicio De Las Zonas Críticas De Aguas Subterráneas;2020-06-09;Corporación Autónoma Regional de Cundinamarca
_9_Paramos;_9_1_Paramos;Delimitación De Páramos Establecida Por El Ministerio Del Medio Ambiente;2018-09-25;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_1_RICV_Zonificacion_Riesgos_Incendios_2014;Zonificacion De Riesgos A Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-15;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_2_RICV_Vulnerabilidad_Total_2014;Vulnerabilidad Total Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_3_RICV_Vulnerabilidad_Territorial_2014;Vulnerabilidad Territorial Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_4_RICV_Vulnerabilidad_Poblacional_2014;Vulnerabilidad Poblacional Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_5_RICV_Vulnerabilidad_Patrimonial_2014;Vulnerabilidad Patrimonial Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_6_RICV_Vulnerabilidad_Institucional_incendios_2014;Vulnerabilidad Institucional Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_7_RICV_Vulnerabilidad_Fisica_incendios_2014;Vulnerabilidad Fisica Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_8_RICV_Vulnerabilidad_Economica_2014;Vulnerabilidad Económica Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_9_RICV_Vulnerabilidad_Ecologica_2014;Vulnerabilidad Ecológica Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_10_RICV_Susceptibilidad_Total_2014;Susceptibilidad Total Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_11_RICV_Escenario_Riesgo_Territorial_2014;Escenario Riesgo Territorial Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_12_RICV_Escenario_Riesgo_Poblacional_2014;Escenario Riesgo Poblacional Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_13_RICV_Amenaza_Viento_2014;Amenaza Viento Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_14_RICV_Amenaza_Pendiente_2014;Amenaza Pendiente Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_15_RICV_Amenaza_Frecuencia_Incendios_Cobertura_Vegetal_2014;Amenaza Frecuencia Incendios Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
_18_Incendios;_18_16_Amenaza_Accesibilidad_2014;Amenaza Accesibilidad Ante Incendios De La Cobertura Vegetal Para La Corporación Autónoma Regional De Cundinamarca - Car;2019-01-14;Corporación Autónoma Regional de Cundinamarca
